时间标识,2026/9/8 17:07:12
间隔,1E-05
通道名称,"输入1"
单位,"V"
0,0.00093956405180506408
1E-05,0.001916786830406636
2E-05,0.00093956405180506408
3E-05,0.00061382312560454011
4E-05,0.00093956405180506408
5E-05,0.00093956405180506408
6E-05,0.001916786830406636
7E-05,0.00093956405180506408
8E-05,0.00028808219940401614
9E-05,0.00028808219940401614
0.0001,0.00093956405180506408
0.00011,0.00093956405180506408
0.00012,0.00093956405180506408
0.00013,0.00093956405180506408
0.00014,0.00093956405180506408
0.00015,0.00061382312560454011
0.00016,0.00061382312560454011
0.00017,0.00061382312560454011
0.00018,0.0012653049780055881
0.00019,0.00093956405180506408
0.0002,0.001591045904206112
0.00021,0.0012653049780055881
0.00022,0.0012653049780055881
0.00023,0.00093956405180506408
0.00024,0.00061382312560454011
0.00025,0.00061382312560454011
0.00026,0.00061382312560454011
0.00027,0.0012653049780055881
0.00028,0.00093956405180506408
0.00029,0.00028808219940401614
0.0003,0.0012653049780055881
0.00031,0.00093956405180506408
0.00032,0.00093956405180506408
0.00033,0.0012653049780055881
0.00034,0.001591045904206112
0.00035,0.00061382312560454011
0.00036,0.00061382312560454011
0.00037,0.001591045904206112
0.00038,0.0012653049780055881
0.00039,0.00061382312560454011
0.0004,0.001591045904206112
0.00041,0.00061382312560454011
0.00042,0.00061382312560454011
0.00043,0.00061382312560454011
0.00044,0.00093956405180506408
0.00045,0.00093956405180506408
0.00046,0.0012653049780055881
0.00047,0.001591045904206112
0.00048,0.00093956405180506408
0.00049,0.00061382312560454011
0.0005,0.00061382312560454011
0.00051,0.001591045904206112
0.00052,0.00093956405180506408
0.00053,0.00093956405180506408
0.00054,0.00028808219940401614
0.00055,0.0012653049780055881
0.00056,0.001591045904206112
0.00057,0.00061382312560454011
0.00058,0.001916786830406636
0.00059,0.00093956405180506408
0.0006,0.00093956405180506408
0.00061,0.00061382312560454011
0.00062,0.001591045904206112
0.00063,0.0012653049780055881
0.00064,0.00061382312560454011
0.00065,0.00093956405180506408
0.00066,0.00061382312560454011
0.00067,0.00061382312560454011
0.00068,0.00093956405180506408
0.00069,0.00061382312560454011
0.0007,0.00061382312560454011
0.00071,0.00061382312560454011
0.00072,0.001591045904206112
0.00073,0.001916786830406636
0.00074,0.00093956405180506408
0.00075,0.001591045904206112
0.00076,0.00061382312560454011
0.00077,0.00093956405180506408
0.00078,0.00028808219940401614
0.00079,0.00093956405180506408
0.0008,0.0012653049780055881
0.00081,0.00093956405180506408
0.00082,0.0012653049780055881
0.00083,0.00093956405180506408
0.00084,0.00093956405180506408
0.00085,0.00061382312560454011
0.00086,0.00061382312560454011
0.00087,0.00093956405180506408
0.00088,0.00061382312560454011
0.00089,0.0012653049780055881
0.0009,0.00061382312560454011
0.00091,0.00061382312560454011
0.00092,0.0012653049780055881
0.00093,0.0012653049780055881
0.00094,0.00061382312560454011
0.00095,0.00093956405180506408
0.00096,0.0012653049780055881
0.00097,0.00093956405180506408
0.00098,0.0012653049780055881
0.00099,0.0012653049780055881
0.001,0.00061382312560454011
0.00101,0.00028808219940401614
0.00102,0.00093956405180506408
0.00103,0.00061382312560454011
0.00104,0.001916786830406636
0.00105,0.00061382312560454011
0.00106,0.0012653049780055881
0.00107,0.0012653049780055881
0.00108,0.0012653049780055881
0.00109,0.001916786830406636
0.0011,0.00061382312560454011
0.00111,0.00093956405180506408
0.00112,0.001591045904206112
0.00113,0.00093956405180506408
0.00114,0.00061382312560454011
0.00115,0.00028808219940401614
0.00116,0.0012653049780055881
0.00117,0.00093956405180506408
0.00118,0.00061382312560454011
0.00119,0.00093956405180506408
0.0012,0.001591045904206112
0.00121,0.0012653049780055881
0.00122,0.00093956405180506408
0.00123,0.00061382312560454011
0.00124,0.0012653049780055881
0.00125,0.0012653049780055881
0.00126,0.00061382312560454011
0.00127,0.00093956405180506408
0.00128,0.00093956405180506408
0.00129,0.00093956405180506408
0.0013,0.001591045904206112
0.00131,0.00093956405180506408
0.00132,0.00061382312560454011
0.00133,-3.7658726796507835E-05
0.00134,0.00093956405180506408
0.00135,0.00061382312560454011
0.00136,0.00093956405180506408
0.00137,0.00093956405180506408
0.00138,0.00093956405180506408
0.00139,0.00093956405180506408
0.0014,0.001591045904206112
0.00141,0.00061382312560454011
0.00142,0.00093956405180506408
0.00143,0.0012653049780055881
0.00144,0.0012653049780055881
0.00145,0.00028808219940401614
0.00146,0.00093956405180506408
0.00147,0.001591045904206112
0.00148,0.00093956405180506408
0.00149,0.00093956405180506408
0.0015,0.001591045904206112
0.00151,0.00093956405180506408
0.00152,0.00061382312560454011
0.00153,0.00093956405180506408
0.00154,-3.7658726796507835E-05
0.00155,0.00093956405180506408
0.00156,0.00061382312560454011
0.00157,0.0012653049780055881
0.00158,0.00061382312560454011
0.00159,0.00061382312560454011
0.0016,0.00061382312560454011
0.00161,0.00028808219940401614
0.00162,0.00093956405180506408
0.00163,0.001591045904206112
