condition,n,mean_delta_nA,run_to_run_sd_nA,run_to_run_cv_pct,within_scan_sd_mean_nA,baseline_rms_mean_nA,fixed_minus300_sd_nA,mean_error_pct
Battery only,20,69.41152777777779,0.03609770406388152,0.05200534438522797,2.374513983698926,2.3360334498318815,3.5260421747932993,1.101
"USB-C + battery, MacBook unplugged",20,69.39560308641975,0.03546861782953152,0.05111075666474391,2.217548580631782,2.1762050568688123,1.8856626254030968,1.1229999999999998
"USB-C + battery, MacBook on mains",10,70.06454814814813,1.6555556534003486,2.3629006354251447,67.04922384867487,67.34744754967987,62.71239160741857,1.9449999999999998
"USB-C only, no battery",20,69.61741666666666,0.2842400832063104,0.40828875418815513,6.412894299170153,6.5411035744005,7.597149517209865,0.8089999999999999
