profile,n,mean_delta_nA,run_to_run_sd_nA,cv_pct,mean_error_pct,scan_ms
5.37 mV full,10,69.71102469135803,0.14639651767884673,0.21000482825637662,0.674,709.0
2.15 mV full,10,69.52380096618357,0.1301871085608806,0.18725545317092732,0.9399999999999998,1759.0
1.07 mV segmented,10,69.53227932692307,0.05655645546087219,0.08133841721908489,0.93,3500.0
