profile,label,runs,mean_delta_nA,run_to_run_sd_nA,run_to_run_cv_pct,min_delta_nA,max_delta_nA,expected_delta_nA,bias_nA,bias_pct,mean_error_pct,mean_scan_s,mean_within_scan_sd_nA
5MV,5 mV,15,69.70552592592593,0.15630566670897802,0.2242371241486358,69.42081481481483,69.90819753086421,70.187,-0.4814740740740717,-0.6859875391084841,0.682,0.709,9.09968573356145
2MV,2 mV,15,69.57268824476651,0.17991121003933472,0.2585945930483263,69.35651207729471,69.80628019323669,70.187,-0.6143117552334871,-0.875250053761362,0.8699999999999998,1.759,8.648829543330919
1MVSEG,1 mV segmented,15,69.5166,0.09733935151811478,0.14002317650476978,69.36521394230773,69.71785336538467,70.187,-0.6704000000000008,-0.9551626369555627,0.952,3.5,7.43435999884121
