line,t_ms,ibat_ua,phase,t_s,ibat_ma,dt_ms
809,87687,31000,SWV run 4,72.277,31.0,106
810,87792,15000,SWV run 4,72.382,15.0,105
811,87897,62000,SWV run 4,72.487,62.0,105
812,88002,2000,SWV run 4,72.592,2.0,105
813,88108,2000,SWV run 4,72.698,2.0,106
814,88213,15000,SWV run 4,72.803,15.0,105
815,88318,31000,SWV run 4,72.908,31.0,105
816,88423,2000,SWV run 4,73.013,2.0,105
817,88529,15000,SWV run 4,73.119,15.0,106
818,88634,31000,SWV run 4,73.224,31.0,105
819,88739,15000,SWV run 4,73.329,15.0,105
820,89047,15000,SWV run 4,73.637,15.0,308
821,89153,15000,SWV run 4,73.743,15.0,106
822,89258,15000,SWV run 4,73.848,15.0,105
823,89363,2000,SWV run 4,73.953,2.0,105
824,89468,63000,SWV run 4,74.058,63.0,105
827,89574,5000,SWV run 4,74.164,5.0,106
828,89679,7000,SWV run 4,74.269,7.0,105
831,89785,7000,SWV run 4,74.375,7.0,106
832,89890,15000,SWV run 4,74.48,15.0,105
833,89996,15000,SWV run 4,74.586,15.0,106
834,90101,15000,SWV run 4,74.691,15.0,105
835,90207,5000,SWV run 4,74.797,5.0,106
836,90312,2000,SWV run 4,74.902,2.0,105
837,90418,2000,SWV run 4,75.008,2.0,106
845,90523,2000,SWV run 4,75.113,2.0,105
847,90628,62000,SWV run 4,75.218,62.0,105
848,90734,63000,SWV run 4,75.324,63.0,106
849,90839,0,SWV run 4,75.429,0.0,105
850,91147,31000,SWV run 4,75.737,31.0,308
851,91253,2000,SWV run 4,75.843,2.0,106
852,91358,2000,SWV run 4,75.948,2.0,105
853,91464,46000,SWV run 4,76.054,46.0,106
854,91570,2000,SWV run 4,76.16,2.0,106
855,91675,2000,SWV run 4,76.265,2.0,105
856,91781,11000,SWV run 4,76.371,11.0,106
857,91886,2000,SWV run 4,76.476,2.0,105
858,91991,0,SWV run 4,76.581,0.0,105
859,92097,15000,SWV run 4,76.687,15.0,106
860,92203,0,SWV run 4,76.793,0.0,106
861,92309,2000,SWV run 4,76.899,2.0,106
862,92414,0,SWV run 4,77.004,0.0,105
863,92519,2000,SWV run 4,77.109,2.0,105
864,92625,0,SWV run 4,77.215,0.0,106
865,92730,0,SWV run 4,77.32,0.0,105
866,92835,0,SWV run 4,77.425,0.0,105
867,92940,15000,SWV run 4,77.53,15.0,105
868,93248,63000,SWV run 4,77.838,63.0,308
869,93354,62000,SWV run 4,77.944,62.0,106
870,93460,2000,SWV run 4,78.05,2.0,106
872,93565,7000,SWV run 4,78.155,7.0,105
879,93671,5000,SWV run 4,78.261,5.0,106
880,93776,2000,SWV run 4,78.366,2.0,105
881,93881,2000,SWV run 4,78.471,2.0,105
882,93986,2000,SWV run 4,78.576,2.0,105
883,94092,15000,SWV run 4,78.682,15.0,106
884,94197,31000,SWV run 4,78.787,31.0,105
885,94302,2000,SWV run 4,78.892,2.0,105
886,94408,15000,SWV run 4,78.998,15.0,106
887,94513,62000,SWV run 4,79.103,62.0,105
888,94618,0,SWV run 4,79.208,0.0,105
889,94723,0,SWV run 4,79.313,0.0,105
890,94828,15000,SWV run 4,79.418,15.0,105
891,94934,0,SWV run 4,79.524,0.0,106
892,95039,2000,SWV run 4,79.629,2.0,105
893,95347,0,SWV run 4,79.937,0.0,308
894,95452,0,SWV run 4,80.042,0.0,105
895,95558,3000,SWV run 4,80.148,3.0,106
896,95663,2000,SWV run 4,80.253,2.0,105
897,95768,2000,SWV run 4,80.358,2.0,105
898,95873,15000,SWV run 4,80.463,15.0,105
899,95979,2000,SWV run 4,80.569,2.0,106
900,96084,62000,SWV run 4,80.674,62.0,105
901,96189,0,SWV run 4,80.779,0.0,105
902,96294,2000,SWV run 4,80.884,2.0,105
903,96400,31000,SWV run 4,80.99,31.0,106
904,96505,31000,SWV run 4,81.095,31.0,105
905,96610,62000,SWV run 4,81.2,62.0,105
906,96715,15000,SWV run 4,81.305,15.0,105
907,96821,0,SWV run 4,81.411,0.0,106
908,96926,1000,SWV run 4,81.516,1.0,105
909,97031,62000,SWV run 4,81.621,62.0,105
910,97136,0,SWV run 4,81.726,0.0,105
911,97445,15000,SWV run 4,82.035,15.0,309
912,97550,0,SWV run 4,82.14,0.0,105
913,97655,2000,SWV run 4,82.245,2.0,105
914,97760,5000,SWV run 4,82.35,5.0,105
915,97866,7000,SWV run 4,82.456,7.0,106
916,97971,2000,SWV run 4,82.561,2.0,105
917,98076,2000,SWV run 4,82.666,2.0,105
918,98181,15000,SWV run 4,82.771,15.0,105
919,98287,1000,SWV run 4,82.877,1.0,106
920,98392,8000,SWV run 4,82.982,8.0,105
921,98497,2000,SWV run 4,83.087,2.0,105
922,98602,62000,SWV run 5,83.192,62.0,105
939,98708,2000,SWV run 5,83.298,2.0,106
940,98813,31000,SWV run 5,83.403,31.0,105
941,98918,2000,SWV run 5,83.508,2.0,105
942,99023,15000,SWV run 5,83.613,15.0,105
943,99129,15000,SWV run 5,83.719,15.0,106
944,99234,15000,SWV run 5,83.824,15.0,105
945,99542,15000,SWV run 5,84.132,15.0,308
946,99647,15000,SWV run 5,84.237,15.0,105
947,99753,15000,SWV run 5,84.343,15.0,106
948,99858,15000,SWV run 5,84.448,15.0,105
949,99963,2000,SWV run 5,84.553,2.0,105
950,100068,2000,SWV run 5,84.658,2.0,105
951,100173,2000,SWV run 5,84.763,2.0,105
952,100279,15000,SWV run 5,84.869,15.0,106
953,100384,15000,SWV run 5,84.974,15.0,105
954,100489,32000,SWV run 5,85.079,32.0,105
955,100594,31000,SWV run 5,85.184,31.0,105
956,100700,15000,SWV run 5,85.29,15.0,106
957,100805,15000,SWV run 5,85.395,15.0,105
958,100910,5000,SWV run 5,85.5,5.0,105
959,101015,2000,SWV run 5,85.605,2.0,105
960,101121,2000,SWV run 5,85.711,2.0,106
961,101226,2000,SWV run 5,85.816,2.0,105
962,101331,15000,SWV run 5,85.921,15.0,105
963,101639,15000,SWV run 5,86.229,15.0,308
966,101745,2000,SWV run 5,86.335,2.0,106
969,101850,15000,SWV run 5,86.44,15.0,105
970,101956,15000,SWV run 5,86.546,15.0,106
971,102061,15000,SWV run 5,86.651,15.0,105
972,102167,2000,SWV run 5,86.757,2.0,106
973,102272,15000,SWV run 5,86.862,15.0,105
974,102378,31000,SWV run 5,86.968,31.0,106
975,102483,0,SWV run 5,87.073,0.0,105
976,102589,3000,SWV run 5,87.179,3.0,106
984,102694,2000,SWV run 5,87.284,2.0,105
986,102799,31000,SWV run 5,87.389,31.0,105
987,102904,2000,SWV run 5,87.494,2.0,105
988,103010,0,SWV run 5,87.6,0.0,106
989,103115,15000,SWV run 5,87.705,15.0,105
990,103220,63000,SWV run 5,87.81,63.0,105
991,103325,15000,SWV run 5,87.915,15.0,105
992,103431,2000,SWV run 5,88.021,2.0,106
993,103739,2000,SWV run 5,88.329,2.0,308
994,103844,31000,SWV run 5,88.434,31.0,105
995,103949,2000,SWV run 5,88.539,2.0,105
996,104055,2000,SWV run 5,88.645,2.0,106
997,104160,63000,SWV run 5,88.75,63.0,105
998,104265,63000,SWV run 5,88.855,63.0,105
999,104370,15000,SWV run 5,88.96,15.0,105
1000,104476,62000,SWV run 5,89.066,62.0,106
1001,104581,2000,SWV run 5,89.171,2.0,105
1002,104686,15000,SWV run 5,89.276,15.0,105
1003,104792,31000,SWV run 5,89.382,31.0,106
1004,104897,2000,SWV run 5,89.487,2.0,105
1005,105002,15000,SWV run 5,89.592,15.0,105
1006,105108,0,SWV run 5,89.698,0.0,106
1007,105213,2000,SWV run 5,89.803,2.0,105
1008,105318,63000,SWV run 5,89.908,63.0,105
1009,105424,15000,SWV run 5,90.014,15.0,106
1010,105529,63000,Post-measurement connected,90.119,63.0,105
1019,105837,2000,Post-measurement connected,90.427,2.0,308
1020,105943,2000,Post-measurement connected,90.533,2.0,106
1021,106048,2000,Post-measurement connected,90.638,2.0,105
1022,106153,2000,Post-measurement connected,90.743,2.0,105
1023,106258,7000,Post-measurement connected,90.848,7.0,105
1024,106364,2000,Post-measurement connected,90.954,2.0,106
1025,106469,62000,Post-measurement connected,91.059,62.0,105
1026,106574,2000,Post-measurement connected,91.164,2.0,105
1027,106679,15000,Post-measurement connected,91.269,15.0,105
1028,106785,15000,Post-measurement connected,91.375,15.0,106
1029,106890,63000,Post-measurement connected,91.48,63.0,105
1030,106995,7000,Post-measurement connected,91.585,7.0,105
1031,107100,7000,Post-measurement connected,91.69,7.0,105
1032,107206,0,Post-measurement connected,91.796,0.0,106
1033,107311,62000,Post-measurement connected,91.901,62.0,105
1034,107416,15000,Post-measurement connected,92.006,15.0,105
1035,107521,15000,Post-measurement connected,92.111,15.0,105
1036,107627,62000,Post-measurement connected,92.217,62.0,106
1037,107935,15000,Post-measurement connected,92.525,15.0,308
1038,108040,63000,Post-measurement connected,92.63,63.0,105
1039,108145,31000,Post-measurement connected,92.735,31.0,105
1040,108251,63000,Post-measurement connected,92.841,63.0,106
1041,108356,63000,Post-measurement connected,92.946,63.0,105
1042,108461,0,Post-measurement connected,93.051,0.0,105
1043,108566,15000,Post-measurement connected,93.156,15.0,105
1044,108672,31000,Post-measurement connected,93.262,31.0,106
1045,108777,15000,Post-measurement connected,93.367,15.0,105
1046,108882,62000,Post-measurement connected,93.472,62.0,105
1047,108987,2000,Post-measurement connected,93.577,2.0,105
1048,109093,0,Post-measurement connected,93.683,0.0,106
1049,109198,31000,Post-measurement connected,93.788,31.0,105
1050,109303,15000,Post-measurement connected,93.893,15.0,105
1051,109408,15000,Post-measurement connected,93.998,15.0,105
1052,109514,0,Post-measurement connected,94.104,0.0,106
1053,109619,31000,Post-measurement connected,94.209,31.0,105
1054,109724,15000,Post-measurement connected,94.314,15.0,105
1055,110032,0,Post-measurement connected,94.622,0.0,308
1056,110137,62000,Post-measurement connected,94.727,62.0,105
1057,110243,0,Post-measurement connected,94.833,0.0,106
1058,110348,15000,Post-measurement connected,94.938,15.0,105
1059,110453,7000,Post-measurement connected,95.043,7.0,105
1060,110558,2000,Post-measurement connected,95.148,2.0,105
1061,110664,31000,Post-measurement connected,95.254,31.0,106
1062,110769,31000,Post-measurement connected,95.359,31.0,105
1063,110874,31000,Post-measurement connected,95.464,31.0,105
1064,110980,2000,Post-measurement connected,95.57,2.0,106
1065,111085,7000,Post-measurement connected,95.675,7.0,105
1066,111190,7000,Post-measurement connected,95.78,7.0,105
1067,111295,2000,Post-measurement connected,95.885,2.0,105
1068,111401,7000,Post-measurement connected,95.991,7.0,106
1069,111506,15000,Post-measurement connected,96.096,15.0,105
1070,111611,62000,Post-measurement connected,96.201,62.0,105
1071,111716,63000,Post-measurement connected,96.306,63.0,105
1072,111822,2000,BLE disconnected,96.412,2.0,106
1076,112119,0,BLE disconnected,96.709,0.0,297
1077,112225,7000,BLE disconnected,96.815,7.0,106
1078,112330,31000,BLE disconnected,96.92,31.0,105
1079,112435,0,BLE disconnected,97.025,0.0,105
1080,112540,15000,BLE disconnected,97.13,15.0,105
1081,112645,15000,BLE disconnected,97.235,15.0,105
1082,112751,0,BLE disconnected,97.341,0.0,106
1083,112856,2000,BLE disconnected,97.446,2.0,105
1084,112961,7000,BLE disconnected,97.551,7.0,105
1085,113066,0,BLE disconnected,97.656,0.0,105
1086,113172,7000,BLE disconnected,97.762,7.0,106
1087,113277,15000,BLE disconnected,97.867,15.0,105
1088,113382,7000,BLE disconnected,97.972,7.0,105
1089,113488,2000,BLE disconnected,98.078,2.0,106
1090,113593,0,BLE disconnected,98.183,0.0,105
1091,113698,0,BLE disconnected,98.288,0.0,105
1092,113803,2000,BLE disconnected,98.393,2.0,105
1093,113908,15000,BLE disconnected,98.498,15.0,105
1094,114206,2000,BLE disconnected,98.796,2.0,298
1095,114311,2000,BLE disconnected,98.901,2.0,105
1096,114417,31000,BLE disconnected,99.007,31.0,106
1097,114522,15000,BLE disconnected,99.112,15.0,105
1098,114627,0,BLE disconnected,99.217,0.0,105
1099,114732,15000,BLE disconnected,99.322,15.0,105
1100,114838,15000,BLE disconnected,99.428,15.0,106
1101,114943,15000,BLE disconnected,99.533,15.0,105
1102,115048,62000,BLE disconnected,99.638,62.0,105
1103,115153,2000,BLE disconnected,99.743,2.0,105
1104,115259,2000,BLE disconnected,99.849,2.0,106
1105,115364,7000,BLE disconnected,99.954,7.0,105
1107,115469,31000,BLE disconnected,100.059,31.0,105
